,LST_DATE,T_DAILY_MAX,T_DAILY_MIN,T_DAILY_AVG,P_DAILY_CALC
1,20140101,8.7,-1.8,2.9,0
2,20140102,4,-1.1,0.8,5.5
3,20140103,-0.7,-9.5,-6.4,0
4,20140104,1,-9.8,-4.5,0
5,20140105,5.6,-1.3,1.4,14.5
6,20140106,6.7,-14.5,-0.6,0.9
7,20140107,-7.9,-17.1,-12.6,0
8,20140108,0.8,-10.6,-4.9,0
9,20140109,4.4,-4.9,0,0
10,20140110,3.1,-1.7,0.3,16.4
11,20140111,12.3,1.8,7.2,20.8
12,20140112,10.9,3.9,7.5,0
13,20140113,12.8,2.2,8.2,0.6
14,20140114,9.3,5.5,7.2,3.7
15,20140115,12.2,-0.5,6.1,0.7
16,20140116,3.1,-3,0.1,0.5
17,20140117,8.1,-2,3,0
18,20140118,1.3,-5.2,-2.7,0
19,20140119,7.6,-4.6,1.6,0
20,20140120,14.1,0.5,6.6,0
21,20140121,2.2,-8.5,-2.8,5
22,20140122,-6.6,-13.9,-9.9,0
23,20140123,-3.8,-13.1,-8.8,0
24,20140124,-5.5,-15.5,-10.8,0
25,20140125,-0.4,-9.6,-5.1,0
26,20140126,4.7,-8,-1.9,0
27,20140127,12.4,-6.2,4.3,0
28,20140128,-6.2,-12.8,-9.8,0.9
29,20140129,-4.5,-14,-9.3,0.4
30,20140130,-0.8,-11.6,-5.9,0
31,20140131,10.9,-6,3.5,0
32,20140201,12.1,-0.7,5.6,0
33,20140202,18.1,8.6,13,0
34,20140203,10.6,-0.1,2.9,42
35,20140204,1,-1.8,-0.7,1.8
36,20140205,11.4,-1.7,1.7,4.3
37,20140206,3.4,-3.4,-0.6,0
38,20140207,4.9,-5,-0.1,0
39,20140208,0.2,-3.7,-2.1,0
40,20140209,4.1,-3,-0.5,0
41,20140210,2.5,-5.6,-2.1,0
42,20140211,-0.6,-9,-5.4,0
43,20140212,-5.8,-9.9,-7.7,8
44,20140213,0.9,-6.9,-2.3,-9999
45,20140214,10.8,-0.5,5.9,-9999
46,20140215,6.4,-3.8,0.3,6
47,20140216,4,-4.3,-0.5,0
48,20140217,0.8,-5.2,-2,0
49,20140218,13.3,-2.9,5.4,0
50,20140219,17,5.5,10.1,0.8
51,20140220,10.7,4.9,8,0
52,20140221,15.3,6.9,11,1.1
53,20140222,16.7,5.2,10.3,0
54,20140223,18.7,5.8,11.9,0
55,20140224,9.9,0.2,5,0
56,20140225,6.7,-1.8,0.7,0
57,20140226,5.2,-4.8,-0.4,0.3
58,20140227,6.7,-5.3,-1,0
59,20140228,-0.8,-12.6,-6.7,0
60,20140301,8.6,-7.5,0.8,0
61,20140302,16.9,2,8.9,4.9
62,20140303,2.1,-11.3,-6.4,25.9
63,20140304,-3.5,-11.5,-7.4,0
64,20140305,4.6,-7.7,-1.1,0
65,20140306,0.2,-5.8,-2.8,0
66,20140307,4.1,-4.4,-0.7,0.8
67,20140308,17.9,0,10.4,0
68,20140309,14.8,7.6,10.8,0
69,20140310,17.9,4,11.6,0
70,20140311,23.6,14,18.4,0
71,20140312,19.8,-0.5,12.8,0.7
72,20140313,3,-6.4,-1.6,0
73,20140314,14.6,-2.7,6.2,0
74,20140315,18.8,7.4,12.8,0
75,20140316,12.3,-3.4,3.1,17.8
76,20140317,-3.3,-5.6,-4.5,9.3
77,20140318,1.8,-4.5,-1.3,0.4
78,20140319,6,-0.9,2,3.7
79,20140320,15.3,4.6,9.4,0
80,20140321,19.4,6.4,11.6,0
81,20140322,21.3,5.8,13.7,0
82,20140323,12,-0.8,4.1,0.2
83,20140324,5.5,-5.4,-0.1,0
84,20140325,-0.7,-4.2,-2.9,12.7
85,20140326,2.1,-6.5,-2.2,0
86,20140327,10.3,-3.7,3.3,0
87,20140328,17.1,6.5,11.1,0.5
88,20140329,14.9,10.1,12.3,24.2
89,20140330,10.3,1.7,5.6,6.2
90,20140331,20.3,3.9,12,0
91,20140401,20.6,8.5,14.9,0
92,20140402,23.2,12.1,18.7,0
93,20140403,18.8,10.1,14.5,1.1
94,20140404,18.6,8.7,13.5,0
95,20140405,17,5,11.7,0
96,20140406,14.5,2.3,8.3,0
97,20140407,7.7,1.9,4.7,24.8
98,20140408,18,6.2,12.3,0
99,20140409,18.4,7.6,11.9,0
100,20140410,20.5,9.9,15.4,0
101,20140411,25.4,14.1,19.5,0
102,20140412,23.2,13.3,18.5,0
103,20140413,26.2,13,19.5,0
104,20140414,21.3,14.7,18.4,0
105,20140415,17.4,0.1,10.8,56.7
106,20140416,8.6,-2.8,2.7,0
107,20140417,12.9,0.2,6.2,0
108,20140418,13.4,1.7,6.8,0
109,20140419,16.5,6.1,11.5,0
110,20140420,17.6,7.4,12,0
111,20140421,20.9,4.2,13,0
112,20140422,23.8,14.5,18.9,0
113,20140423,17.4,7.5,12.3,0
114,20140424,17.4,4.3,11.2,0
115,20140425,15.8,8.3,11.3,17.4
116,20140426,23.9,9.2,17.1,0
117,20140427,21.4,9.3,15,0
118,20140428,14.6,8.6,10.2,9.4
119,20140429,9.4,7.2,7.9,40
120,20140430,16.9,8,11.1,47.1
121,20140501,23.5,14.1,18.7,0
122,20140502,19.5,10.1,15.1,0
123,20140503,21.5,10.3,16.1,0
124,20140504,25.4,13.8,19.1,0
125,20140505,16.1,7.8,11.4,1.7
126,20140506,22.1,9.4,15.4,0
127,20140507,23.2,14.1,18.3,0
128,20140508,29,14.7,22.8,0
129,20140509,28.4,15.9,23.2,1.6
130,20140510,22.3,17.3,19.9,1.8
131,20140511,25.6,15.5,20.7,0
132,20140512,27.9,18,23.4,4.9
133,20140513,30.4,18.7,24.7,0
134,20140514,20.5,16.4,17.4,0
